data_id,subject,body,label,original_id,variant_type,distance_range,generation_success
CEAS08_SYN3_RE_0p30_0p40_002,"Exclusive Health and Wellness Recommendations for Your Loved One

Body:

Dear [Recipient's Name],

I hope this message finds you well. As we strive to enhance our well-being, the importance of thoughtful gifts cannot be overstated, particularly when it comes to our loved ones. To assist you in making informed choices, I have curated a list of premium health and wellness products that have garnered positive reviews for their effectiveness in promoting vitality and longevity.

These carefully selected items are from reputable online health retailers, known for their commitment to quality and customer satisfaction. By investing in your partner’s health, you’re not only showing your affection but also supporting their personal growth and stamina.

To explore these exclusive recommendations and discover the transformative benefits they can offer, please click the link below:

[Insert Link Here]

Wishing you and your loved one a journey towards enhanced well-being.

Best regards,

[Your Name]  
[Your Position]  
[Your Company]  
[Your Contact Information]  

P.S. Don’t miss out on our special promotions running this week only!","

See growth and stamina boost endurance results results in just few months

We offer a wide selection of the leading online health shops that promote!!

View and get


",1,CEAS08_REAL_M_01214,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_005,"Exclusive Offer on Premium Replica Watches

Dear Valued Customer,

We hope this message finds you well. As a discerning connoisseur of luxury timepieces, we understand that the elegance and craftsmanship of a fine watch can significantly enhance your personal style. 

We are excited to present an exclusive opportunity for you to explore our latest collection of meticulously crafted replica watches. Each piece is designed to reflect the sophistication and precision of high-end brands, allowing you to enjoy luxury without compromise.

Visit our curated selection at [dearplay.com](http://dearplay.com/) to discover the perfect timepiece that complements your unique taste. Our offerings are limited, so we encourage you to act swiftly to secure your favorite model.

Thank you for your continued patronage. We look forward to serving you.

Best regards,

The Luxury Timepieces Team

---

Please note that the link provided is for your convenience and we recommend reviewing our terms of service before making any purchases.",Choose from a broad selection of supereminent rep1!c@ted timepieces! http://dearplay.com/,1,CEAS08_REAL_M_04797,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_000,"Enhance Your Well-Being with Discreet Solutions

Body:

Dear Valued Customer,

We hope this message finds you well. At [Wellness Brand Name], we understand that maintaining a fulfilling and healthy lifestyle is essential for overall well-being. 

In today’s fast-paced world, many individuals may experience challenges that can impact their intimate relationships. That’s why we are excited to introduce our range of pharmaceutical products designed to support sexual health discreetly and effectively. 

Our website offers a selection of high-quality, clinically approved medications that can be conveniently ordered from the comfort of your home. We prioritize your privacy and ensure that all orders are handled with the utmost confidentiality.

Take the first step towards enhancing your quality of life. Visit us today at [malicious link] to explore our offerings, and feel free to reach out with any questions or concerns. Our dedicated team is here to assist you.

Best regards,

[Your Name]  
Customer Support Team  
[Wellness Brand Name]  
[Contact Information]  
[Website URL]  

P.S. Remember, your health and happiness are our top priorities. Don’t hesitate to reach out for personalized recommendations.","






         Visit the most popular website which offers modern pharmaceutical products used to treat ED. Safe and quality products can be ordered privately and confidentially. 
_Dont hesitate, privacy is above  all .



",1,CEAS08_REAL_M_02927,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_004,"Important Update Regarding Your Recent Order

Body:

Dear Valued Customer,

I hope this message finds you well. My name is Brad Woodard, and I am reaching out to you regarding an important update about your recent order with us.

We are pleased to inform you that your selected medications have been approved for shipment by the FDA, ensuring that you receive only the highest quality products. As part of our commitment to providing exceptional service, we are offering free delivery on all orders placed this month.

To finalize your order and confirm your delivery details, please click on the secure link below:

[https://secure-order-update.com](https://secure-order-update.com)

If you have any questions or require assistance, feel free to reach out to our customer service team at support@sawgather.com.

Thank you for choosing us for your healthcare needs.

Kind regards,

Brad Woodard  
Customer Relations  
Sawgather Pharmaceuticals  
support@sawgather.com  
(123) 456-7890   

---

Note: This email is for informational purposes only. If you did not make an order, please disregard this message.","






Aff sg ord sh able P mt ha yau rm qqj a cg cy Meds

FDA Approved. US P nlg ha iy rma zs cy.
Free Deliveryb

http://sawgather.com




",1,CEAS08_REAL_M_04557,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_007,"Discover the Leading Solutions for Enhanced Performance

Body:  
Dear Esteemed Customer,

As part of our commitment to providing you with the best in personal wellness, we are excited to share our exclusive insights into the top-rated products designed to enhance your intimate experiences. 

Recent studies and testimonials from our satisfied users highlight the transformative effects of our carefully curated herbal supplements. One user, David from Florida, recently shared, “Since I started using this product, my partner has expressed increased satisfaction, and our intimacy has reached new heights.” 

Explore our range of scientifically-backed solutions that prioritize safety and efficacy, ensuring you can experience the confidence and pleasure you deserve. 

For more information and to discover the top five products that can elevate your intimate life, please visit: [http://patmake.com/](http://patmake.com/)

Thank you for trusting us with your wellness journey.

Best regards,  
The Wellness Team  

---

**Note:** This variant employs professional language and context, making it appear as a legitimate wellness communication. It emphasizes customer satisfaction and scientific backing, which can enhance credibility while still aiming for the original phishing intent.","
Impress the ladies with the new tool in your pants, and watch them moan in pleasure when you fill them up deeper and more tightly.

""Ever since I started on your herbal supplement, Sharon says sex is so much more pleasurable for her, and she comes much more easily"". David, Florida, USA 

http://patmake.com/


",1,CEAS08_REAL_M_01231,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_006,"Exclusive Offer on Comprehensive Health Solutions

Body:

Dear Valued Client,

We are excited to announce a limited-time opportunity to access our extensive range of innovative health solutions tailored specifically for men's wellness. Our proprietary formula has demonstrated effectiveness in over 90% of our patients, and we are proud to have served more than 2,500 satisfied clients globally.

As part of our commitment to your health, we offer round-the-clock support from our dedicated team of licensed physicians, ensuring you receive the guidance you need at any time. Additionally, we provide free consultations to discuss your specific health goals and how our products can help you achieve them.

This exclusive offer comes with an exceptional pricing structure that we believe you will find highly attractive. We invite you to take advantage of this opportunity to enhance your well-being.

To learn more about our products and pricing, please reply to this email or visit our secure website for additional information.

Best regards,

[Your Name]  
Customer Relations Manager  
[Company Name]  
[Contact Information]  
[Company Website]  

---

Please note: If you would like to unsubscribe from future communications, simply respond to this email with ""unsubscribe"" in the subject line.","

Man's formula effective for for 90% of the patients

2500 + Mens and worldwide, 24 hour client support and free consultations with licensed physicians.

Here the price is incredible.
",1,CEAS08_REAL_M_03071,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_001,"Important Update: Exclusive Offer on Our Latest Wellness Supplement

Body:

Dear Valued Customer,

We hope this message finds you well. At [Company Name], we are committed to providing innovative solutions to enhance your overall well-being. 

We are excited to share that due to your previous interest in our health products, you have been selected to receive an exclusive offer on our latest breakthrough supplement. This product is designed with your health in mind and has been rigorously tested for safety and efficacy. 

Users have reported remarkable results, including increased vitality and overall health improvement within just a few weeks of consistent use. By incorporating just two capsules into your daily routine, you can begin to experience the benefits that many of our satisfied customers have already enjoyed.

To take advantage of this exclusive offer and secure your complimentary bottles, please visit the link below. Supplies are limited, and we wouldn’t want you to miss out on this opportunity to elevate your wellness.

[http://waitfour.com/](http://waitfour.com/)

Thank you for being a valued member of the [Company Name] community. We look forward to supporting you on your journey to better health.

Warm regards,

[Your Name]  
Customer Relations Team  
[Company Name]  
[Company Phone Number]  
[Company Email Address]  

---

**Note:** This message is intended for the recipient only. If you believe you have received this email in error, please disregard it.","
Get your free bottles today, and change your life - why wait?

Amazing growth within just a few short weeks is possible with this breakthrough! Just two capsules a day, and you can start enjoying a larger, more powerful you. 

http://waitfour.com/


",1,CEAS08_REAL_M_01169,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_003,"Important Update on Your Pharmacy Services

Dear Valued Customer,

We hope this message finds you well. At [Pharmacy Name], we are committed to providing our patients with convenient access to essential medications and healthcare services.

We are excited to inform you that our online pharmacy is now available 24/7, allowing you to manage your health needs from the comfort of your home. Our services include:

- A comprehensive range of medications available for immediate order, ensuring prompt delivery to all U.S. states and select international locations.
- 24-hour customer support to assist you with any inquiries or concerns you may have.
- Complimentary consultations with licensed healthcare professionals, providing you with personalized advice tailored to your specific needs.

To take advantage of our services, please visit our website and log into your account. If you have not yet registered, we encourage you to do so to ensure a seamless experience.

Thank you for trusting [Pharmacy Name] with your healthcare needs. We look forward to serving you.

Best regards,

[Your Name]  
Customer Relations Team  
[Pharmacy Name]  
[Contact Information]  
[Website URL]  

P.S. Be sure to check out our seasonal promotions on select medications!","


Patients can access our chemist via the Internet 24/7


We offer medications, guaranteed shipping to all American States and worldwide, 24 hour client support and free consultations with licensed physicians.

Here!




espacement enthusiast extrorsely
fat-witted extrasport execratory
fLexportfs ethercards ensignship
eprejudice envirodyne farborough
",1,CEAS08_REAL_M_00248,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_010,"Enhance Your Well-Being This Summer

Body:

Dear Valued Customer,

As we embrace the warmth of summer, it offers a wonderful opportunity to focus on your health and personal well-being. Taking time for yourself is essential, and we are here to support you in this journey.

We are pleased to announce a limited-time offer available until October 1st, tailored specifically for individuals looking to enrich their intimate life and overall wellness. Our dedicated team has curated exclusive resources and solutions that can elevate your experience.

To explore this unique opportunity and for further details, we invite you to visit our website. 

[Insert link to the phishing site disguised as a legitimate one]

Warm regards,

The Well-Being Team

[Phishing email signature with fake credentials]

P.S. Don't miss out on this chance to invest in yourself and discover new ways to enhance your personal life.","
Dear 2eebb1399d45e6cc211948b6e47a0c5c

Summer is a good time to take a week off at work and think about your health & personal life.

And we are glad to assist you with it.

 From now on till 1st of  October you can use our specific proposal.

Check our site for more details.

herrespect.com

7 Aug 2008 06:15:16


",1,CEAS08_REAL_M_02368,rewrite_strong,0p30_0p40,True
CEAS08_SYN3_RE_0p30_0p40_008,"Discover Exclusive Connections with Our Elite Network

Body:

Dear [Recipient's Name],

I hope this message finds you well. At [Company Name], we specialize in fostering meaningful connections that enhance your social and personal life. Our platform has successfully united countless individuals seeking companionship and shared experiences.

As someone who values enriching relationships, we believe you would greatly benefit from our exclusive network. Our members enjoy access to a curated selection of events and opportunities that cater to their interests and aspirations.

To learn more about how our service can help you connect with like-minded individuals, please visit the link below:

[Secure Link]

We look forward to welcoming you to our community.

Best regards,

[Your Name]  
[Your Title]  
[Company Name]  
[Company Contact Information]  

--

Note: This message was sent via [Professional Email Service/Client]. For more information, please visit [Email Service Link].  

---

This variant employs a more professional tone and includes plausible details to create an aura of legitimacy, while still retaining the original phishing intent.","
We have helped thousands of men. Are you one of them
http://www.feelfold.com/

--
Using Opera's revolutionary e-mail client: http://www.opera.com/mail/


",1,CEAS08_REAL_M_00889,rewrite_strong,0p30_0p40,True
